Sample	type	UAR	Z
N689	XX	5.23087374	-3.282370019
N690	XX	5.310315551	-2.206351186
N691	XX	5.2583843	-3.228422752
N692	XX	5.235364564	-3.792275338
N693	XX	5.276380167	-3.250041273
N694	XX	5.25327763	-3.925301194
N695	XX	5.233344576	-4.817278125
N696	XX	5.297684768	-2.877111182
N697	XX	5.317377929	-1.569284296
N698	XX	5.265121737	-2.6144424
N699	XX	5.247686622	-3.633895087
N700	XX	5.337409177	-1.522975841
N701	XX	5.287153062	-2.606161574
N702	XX	5.226384972	-3.235196135
N703	XX	5.259796597	-2.612016146
N704	XX	5.166129161	-4.763497698
N705	XX	5.196052283	-4.855540502
N706	XX	5.260756086	-3.68012213
N707	XX	5.247173559	-2.847245665
N708	XX	5.213040187	-3.496524056
N709	XX	5.159733142	-3.454332109
N710	XX	5.268387085	-3.457947301
N711	XX	5.196179581	-4.866560713
N712	XX	5.238031096	-3.936543449
N713	XX	5.245567395	-4.9275015
N714	XX	5.214942825	-4.826867344
N715	XX	5.242994904	-4.972683131
N716	XX	5.196639229	-5.106297972
N717	XX	5.250882329	-2.656969501
N718	XX	5.300263445	-2.890066346
N719	XX	5.239055988	-3.920586663
N720	XX	5.216377069	-3.914857994
N721	XX	5.220691761	-4.091047794
N722	XX	5.199505344	-4.110944328
N723	XX	5.216986944	-4.048465997
N724	XX	5.334424574	-1.557640774
N725	XX	5.232487634	-3.257981855
N726	XX	5.244434891	-3.302600719
N727	XX	5.229756407	-3.025946998
N728	XX	5.21424071	-2.968308935
N729	XX	5.180712484	-3.534081165
N730	XX	5.260718147	-2.808623368
N731	XX	5.260126255	-3.832944345
N732	XX	5.244211853	-2.980496151
